match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2149,1996-06-02,Togo,Senegal,2.0,1.0,FIFA World Cup qualification,Lomé,Togo,False
2150,1996-06-02,Uruguay,Paraguay,0.0,2.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2151,1996-06-02,Venezuela,Chile,1.0,1.0,FIFA World Cup qualification,Barinas,Venezuela,False
2152,1996-06-03,Cuba,Suriname,4.0,0.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
2153,1996-06-03,Oman,Bahrain,3.0,0.0,Friendly,Muscat,Oman,False
2154,1996-06-04,Germany,Liechtenstein,9.0,1.0,Friendly,Mannheim,Germany,False
2155,1996-06-04,Netherlands,Republic of Ireland,3.0,1.0,Friendly,Rotterdam,Netherlands,False
2156,1996-06-05,Canada,Costa Rica,0.0,1.0,Friendly,Toronto,Canada,False
2157,1996-06-05,France,Armenia,2.0,0.0,Friendly,Villeneuve-d'Ascq,France,False
2158,1996-06-05,Iceland,Cyprus,2.0,1.0,Friendly,Akranes,Iceland,False
2159,1996-06-07,Trinidad and Tobago,Cuba,2.0,0.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
2160,1996-06-08,England,Switzerland,1.0,1.0,UEFA Euro,London,England,False
2161,1996-06-08,Mexico,Bolivia,1.0,0.0,USA Cup,Dallas,United States,True
2162,1996-06-08,Tanzania,Ghana,0.0,0.0,FIFA World Cup qualification,Dar es Salaam,Tanzania,False
2163,1996-06-09,Denmark,Portugal,1.0,1.0,UEFA Euro,Sheffield,England,True
2164,1996-06-09,Germany,Czech Republic,2.0,0.0,UEFA Euro,Manchester,England,True
2165,1996-06-09,Ivory Coast,Burkina Faso,1.0,1.0,Friendly,Abidjan,Ivory Coast,False
2166,1996-06-09,Lebanon,Kuwait,3.0,5.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2167,1996-06-09,Nigeria,Togo,1.0,3.0,Friendly,Lagos,Nigeria,False
2168,1996-06-09,Panama,Belize,4.0,1.0,FIFA World Cup qualification,Panama City,Panama,False
2169,1996-06-09,Spain,Bulgaria,1.0,1.0,UEFA Euro,Leeds,England,True
2170,1996-06-09,United States,Republic of Ireland,2.0,1.0,USA Cup,Foxborough,United States,False
2171,1996-06-10,Cuba,Haiti,6.0,1.0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,True
2172,1996-06-10,Iran,Nepal,8.0,0.0,AFC Asian Cup qualification,Tehran,Iran,False
2173,1996-06-10,Netherlands,Scotland,0.0,0.0,UEFA Euro,Birmingham,England,True
2174,1996-06-10,Romania,France,0.0,1.0,UEFA Euro,Newcastle,England,True
2175,1996-06-10,Sri Lanka,Oman,0.0,3.0,AFC Asian Cup qualification,Tehran,Iran,True
2176,1996-06-11,Italy,Russia,2.0,1.0,UEFA Euro,Liverpool,England,True
2177,1996-06-11,Turkey,Croatia,0.0,1.0,UEFA Euro,Nottingham,England,True
2178,1996-06-12,Iran,Sri Lanka,7.0,0.0,AFC Asian Cup qualification,Tehran,Iran,False
2179,1996-06-12,Mexico,Republic of Ireland,2.0,2.0,USA Cup,East Rutherford,United States,True
2180,1996-06-12,Nepal,Oman,0.0,7.0,AFC Asian Cup qualification,Tehran,Iran,True
2181,1996-06-12,Tanzania,Sudan,0.0,0.0,Friendly,Dar es Salaam,Tanzania,False
2182,1996-06-12,United States,Bolivia,0.0,2.0,USA Cup,Washington,United States,False
2183,1996-06-13,Barbados,Trinidad and Tobago,0.0,4.0,Friendly,Bridgetown,Barbados,False
2184,1996-06-13,Bulgaria,Romania,1.0,0.0,UEFA Euro,Newcastle,England,True
2185,1996-06-13,Switzerland,Netherlands,0.0,2.0,UEFA Euro,Birmingham,England,True
2186,1996-06-14,Algeria,Kenya,1.0,0.0,FIFA World Cup qualification,Algiers,Algeria,False
2187,1996-06-14,Czech Republic,Italy,2.0,1.0,UEFA Euro,Liverpool,England,True
2188,1996-06-14,Iran,Oman,2.0,0.0,AFC Asian Cup qualification,Tehran,Iran,False
2189,1996-06-14,Kazakhstan,Qatar,1.0,0.0,AFC Asian Cup qualification,Almaty,Kazakhstan,False
2190,1996-06-14,Portugal,Turkey,1.0,0.0,UEFA Euro,Nottingham,England,True
2191,1996-06-14,Sri Lanka,Nepal,3.0,1.0,AFC Asian Cup qualification,Tehran,Iran,True
2192,1996-06-15,Bolivia,Republic of Ireland,0.0,3.0,USA Cup,East Rutherford,United States,True
2193,1996-06-15,Dominican Republic,Trinidad and Tobago,1.0,4.0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2194,1996-06-15,England,Scotland,2.0,0.0,UEFA Euro,London,England,False
2195,1996-06-15,France,Spain,1.0,1.0,UEFA Euro,Leeds,England,True
2196,1996-06-15,Senegal,Togo,1.0,1.0,FIFA World Cup qualification,Dakar,Senegal,False
2197,1996-06-15,South Africa,Malawi,3.0,0.0,FIFA World Cup qualification,Johannesburg,South Africa,False
2198,1996-06-16,Angola,Uganda,3.0,1.0,FIFA World Cup qualification,Luanda,Angola,False
2199,1996-06-16,Burkina Faso,Mauritania,2.0,0.0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False
2200,1996-06-16,DR Congo,Mauritius,2.0,0.0,FIFA World Cup qualification,Kinshasa,Zaïre,False
2201,1996-06-16,Croatia,Denmark,3.0,0.0,UEFA Euro,Sheffield,England,True
2202,1996-06-16,Gabon,Eswatini,2.0,0.0,FIFA World Cup qualification,Libreville,Gabon,False
2203,1996-06-16,Guinea,Guinea-Bissau,3.0,1.0,FIFA World Cup qualification,Conakry,Guinea,False
2204,1996-06-16,Ivory Coast,Congo,1.0,1.0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
2205,1996-06-16,Mozambique,Namibia,1.0,1.0,FIFA World Cup qualification,Maputo,Mozambique,False
