Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-03-23 07:04:29,false,"Santiago de Surco Running","6.27","387","00:36:21","155","169","172","181","5:48","4:58","19","79","1.00","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:25.4","7","NaN","--","--","--","00:36:11","00:36:21","-30","34"
Running,2024-03-22 06:13:55,false,"Santiago de Surco Running","1.66","84","00:09:51.1","132","146","174","189","5:57","4:36","2","44","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:03:27.8","2","NaN","--","--","--","00:09:45","00:09:51.1","60","106"
Running,2024-03-20 06:33:20,false,"Santiago de Surco Running","8.37","513","00:48:51","154","167","170","179","5:50","4:47","30","182","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:48.2","9","NaN","--","--","--","00:48:22","00:48:51","-5","147"
Running,2024-03-18 21:35:03,false,"Santiago de Surco Running","6.29","377","00:36:37","151","181","174","188","5:49","4:26","26","57","0.99","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:17.6","7","NaN","--","--","--","00:36:36","00:36:37","-101","-64"
Running,2024-03-17 21:25:42,false,"Santiago de Surco Running","5.39","298","00:31:57","138","154","173","198","5:56","4:47","27","42","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:44.9","6","NaN","--","--","--","00:31:52","00:31:57","-97","-69"
Running,2024-03-15 07:34:08,false,"Running","6.02","358","00:32:55","155","186","168","177","5:28","5:14","14","61","1.09","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:04.8","7","NaN","--","--","--","00:32:54","00:32:55","-38","16"
Running,2024-03-13 21:36:02,false,"Running","10.02","535","00:53:40","145","165","171","181","5:21","4:53","71","30","1.09","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:04.5","11","NaN","--","--","--","00:53:29","00:53:40","-78","-3"
Running,2024-03-09 06:28:36,false,"Santiago de Surco Running","16.24","868","01:30:44","148","168","177","191","5:35","4:47","73","91","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:02.2","17","NaN","--","--","--","01:30:33","01:30:44","-74","-28"
Running,2024-03-08 07:29:10,false,"Santiago de Surco Running","10.13","636","00:59:45","156","176","175","189","5:54","4:53","55","90","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:35.8","11","NaN","--","--","--","00:59:12","00:59:45","-34","10"
Running,2024-03-05 22:00:41,false,"Santiago de Surco Running","5.54","297","00:32:12","139","155","168","181","5:49","4:56","13","58","1.02","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:02:39.1","6","NaN","--","--","--","00:32:09","00:32:12","3","52"
Running,2024-02-29 07:05:50,false,"Santiago de Surco Running","8.02","515","00:49:21","155","185","166","181","6:09","5:14","47","186","0.98","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:06.5","9","NaN","--","--","--","00:47:51","00:49:21","0","149"
Running,2024-02-28 17:51:46,false,"Santiago de Surco Running","5.26","301","00:29:49","150","162","169","181","5:40","4:25","10","53","1.04","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:06.0","6","NaN","--","--","--","00:29:26","00:29:49","92","140"
Running,2024-02-27 06:20:41,false,"Santiago de Surco Running","10.04","602","00:58:31","150","167","171","185","5:50","4:27","72","125","1.00","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:12.5","11","NaN","--","--","--","00:58:21","00:58:31","22","128"
Running,2024-02-25 06:36:41,false,"Asia Running","8.02","430","00:52:56","133","153","178","189","6:36","4:25","16","58","0.85","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:03.7","9","NaN","--","--","--","00:52:46","00:52:56","-51","4"
Running,2024-02-24 07:01:45,false,"Asia Running","15.12","972","01:28:08","160","190","173","183","5:50","5:05","75","153","0.99","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:37.1","16","NaN","--","--","--","01:27:55","01:28:08","-95","-10"
Running,2024-02-21 21:29:45,false,"Santiago de Surco Running","6.02","370","00:36:13","151","165","177","187","6:01","4:31","25","56","0.94","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:04.1","7","NaN","--","--","--","00:36:06","00:36:13","88","127"
Running,2024-02-20 20:55:44,false,"Running","8.09","496","00:45:43","156","171","175","193","5:39","5:03","19","46","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:30.0","9","NaN","--","--","--","00:45:35","00:45:43","107","144"
Running,2024-02-17 07:57:29,false,"Santiago de Surco Running","7.10","390","00:39:34","145","162","177","193","5:34","5:13","25","59","1.02","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:31.2","8","NaN","--","--","--","00:39:29","00:39:34","137","189"
Running,2024-02-15 17:13:27,false,"Santiago de Surco Running","5.43","319","00:30:39","151","177","171","181","5:39","3:59","14","38","1.04","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:52.0","6","NaN","--","--","--","00:30:38","00:30:39","169","196"
Running,2024-02-14 05:20:33,false,"Running","6.23","351","00:34:33","147","171","176","191","5:33","4:40","15","60","1.02","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:08.8","7","NaN","--","--","--","00:34:24","00:34:33","153","205"
Running,2024-02-09 19:39:26,false,"Panama City Running","10.13","631","01:00:13","155","171","174","196","5:57","4:32","57","103","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:44.9","11","NaN","--","--","--","01:00:03","01:00:13","33","88"
Running,2024-02-07 19:47:06,false,"Panama City Running","5.30","343","00:37:57","143","167","167","175","7:10","5:06","24","87","0.83","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:48.5","6","NaN","--","--","--","00:37:50","00:37:57","45","114"
